1,GM Kayden Troff,2575,UT,W17,W34,W9,W8,D3,4.5
2,GM Alonso Zapata,2412,GA,W27,D7,W12,W5,W8,4.5
3,IM Levan Bregadze,2518,NC,W18,W24,D6,W22,D1,4
4,WGM Dina Belenkaya,2291,I,W19,W31,L5,W13,W11,4
5,Alexandre Houhou,2176,NC,W36,W32,W4,L2,W21,4
6,FM James Canty,2271,MI,W29,W43,D3,W7,U---,3.5
7,Jeffrey L Quirke,2154,PA,W45,D2,W16,L6,W25,3.5
8,WGM Sabina-Francesca Foisor,2334,KY,X28,W13,W10,L1,L2,3
9,Victor Sawhney-Duran,2192,VA,W46,W35,L1,W18,U---,3
10,Thomas Fang,2184,NC,W30,W44,L8,D15,D19,3
11,Zubin Baliga,2147,NC,H---,W33,D15,W32,L4,3
12,Anthony Parker,2132,TX,D39,W40,L2,W35,D16,3
13,Hugo Nam,2074,MI,W21,L8,W43,L4,W32,3
14,Joshua Hiban,2056,VA,L32,W46,L21,W37,W27,3
15,Edward Dean,2042,PA,D42,W39,D11,D10,D24,3
16,Mark Hyland,2031,VA,D33,W41,L7,W38,D12,3
17,Dan Bock,1967,NC,L1,W36,L32,W43,W28,3
18,Steffen Thieme,1937,NC,L3,W37,W44,L9,W29,3
19,Shawn Bale,1908,MI,L4,D20,W40,W34,D10,3
20,Gary Cote,1800,FL,L24,D19,D27,W36,W35,3
21,Garret Allen,1772,NC,L13,B---,W14,W24,L5,3
22,Joseph Wan,2315,IA,H---,W38,W25,L3,U---,2.5
23,Samuel Copeland,2288,SC,L35,L29,D42,W46,W40,2.5
24,Kimon Divaris,2126,NC,W20,L3,W31,L21,D15,2.5
25,Patrick McCartney,2081,NC,D40,W42,L22,W33,L7,2.5
26,Han Schut,2154,FL,L31,W30,W29,U---,U---,2
27,Antonio Padron,1925,UT,L2,D45,D20,W42,L14,2
28,Howard Kim,1917,NC,F8,U---,W30,W31,L17,2
29,Jay Garrison,1847,NC,L6,W23,L26,W44,L18,2
30,John Hanna,1825,NC,L10,L26,L28,B---,W43,2
31,Matthew Sammons,1804,VA,W26,L4,L24,L28,W44,2
32,Gianluca Montalti,1768,NJ,W14,L5,W17,L11,L13,2
33,Dalton Bridges,1714,SC,D16,L11,X---,L25,D36,2
34,Roy Weaver,2160,GA,W37,L1,D35,L19,U---,1.5
35,Kingsley Koon,1862,UT,W23,L9,D34,L12,L20,1.5
36,Joaquin Litzenberger-Brunetti,1825,VA,L5,L17,B---,L20,D33,1.5
37,Hollis Shaffer,1816,AZ,L34,L18,W46,L14,D42,1.5
38,Paul King,1814,NC,H---,L22,W41,L16,U---,1.5
39,Natasha Christiansen,1800,MA,D12,L15,U---,L40,B---,1.5
40,Benito Raul Losada,1795,NC,D25,L12,L19,W39,L23,1.5
41,Mario Pineda-Bermudez,1726,NC,H---,L16,L38,H---,H---,1.5
42,Viraj Phadke,1725,NC,D15,L25,D23,L27,D37,1.5
43,Daniel Nenneman,1748,MN,X---,L6,L13,L17,L30,1
44,Sean Miller,1705,SC,B---,L10,L18,L29,L31,1
45,Adam Burgener,1810,CA,L7,D27,U---,U---,U---,0.5
46,Jeff Brasher,1834,NC,L9,L14,L37,L23,U---,0

